username,review,tahun,aplikasi,clean_text,sentiment_score,label
Marissa Putri Ayu,"apk nya tolol bngt kalo mau d pake refresh mllu ,nunggu lampu ijo aj Kya ap'n tau bikin malu aj ,suka keluar apk sendri kalo lagi d gunain tolong jngan d perbarui mllu TPI layanannya lemot",2025,bca,aplikasi tolol banget pakai refresh mllu nunggu lampu ijo aj kya apn malu aj suka aplikasi sendri gunain tolong jngan baru mllu layan lama,0,netral
Al First,"gimna ini msih blum bisa pindah divice gara2 gk muncul verifikasi. udh kirim SMS setelah masukin no kartu ATM ny ttep aja gk bisa, masa harus ke bank langsung jir",2025,bca,gimna msih blum bisa pindah divice gara tidak muncul verifikasi kirim pesan masukin no kartu atm ny ttep tidak bisa bank langsung jir,0,netral
Foxy DMO,MUTASI DI KASIH DETAIL JAM KAYAK BANK LAIN,2025,bca,mutasi kasih detail jam bank,0,netral
Yusuf Hamzah,maintenance ga ngotak 00-05. lah di jam segitu kan emang fungsi m-banking kalo kebutuhan urgent. kita di pedesaan di jam segitu mau keluar kemana..??,2025,bca,maintenance tidak ngotak jam segitu fungsi mbanking butuh urgent desa jam segitu mana,0,netral
Ts In,"setelah update malah jadi parahh parahhh,,lambat sekali ,indikator merah.nya kaga ijo"",,lama"" pindah ATM aja ke sebelah yg lancar""",2025,bca,update parahh parahhlambat indikator merah kaga ijolama pindah atm belah lancar,1,positif
Tri Sahputra,kenapa sekarang jadi lemot amat ya eett deh,2025,bca,lama eett,-1,negatif
Ardika Febriyanto,"BCA mobile bagus, tapi sayang penawaran asuransi jiwanya maksa costumer untuk buat asuransi jiwa, ditelpon berkali-kali bahkan ganti 2 kali si penelpon, dengan alasan pembaharuan data, dipotong 2 kali dalam sebulan 500rb dan barusan 300rb, ""kalo costumer nggak minta ngapain nawarin maksa pula"", mungkin bilangnya nggak seberapa, tapi bagi saya itu sudah cukup banyak diambil, ""ingat costumer nggak minta ya""",2025,bca,bca mobile bagus sayang tawar asuransi jiwa maksa costumer asuransi jiwa telpon berkalikali ganti si telpon alas baharu data potong bulan ribu barusan ribu costumer tidak nawarin maksa bilang tidak ambil costumer tidak,1,positif
Ahmet Cafer,ngebug melulu untuk yg versi terbaru. sangat mengecewakan....,2025,bca,ngebug melulu versi baru sangat kecewa,-1,negatif
Jeyna Felix,udah seminggu ini bca buat transaksi tidak bisa muncul warna hijau,2025,bca,minggu bca transaksi tidak bisa muncul warna hijau,0,netral
Jepri Panjaitan,setiap mau login selalu gak bisa koneksi terputus lah apa lah.,2025,bca,login tidak bisa koneksi putus,-1,negatif
Ves Cool,sulit di menegerti,2025,bca,sulit menegerti,-1,negatif
Open Fajar,"Saya ada saran. Untuk sistem CARDLESS, Limit TARIK TUNAI harap di upgrade Nominal nya. Minimal 2.500.00 1x Tarik, agar lebih mudah dan tidak lama pd saat di ATM Selain itu udah Mantap sih Kapan update Tarik Tunai CARDLESS ke 2.500.000 Ribet kalo mau narik harus 1.250.000 Ngantri nya lama, nge lama² in org hrus berkali² narik",2025,bca,saran sistem cardless limit tarik tunai harap upgrade nominal minimal tarik mudah tidak lama pd atm mantap update tarik tunai cardless ribet narik ngantri lama nge lama in orang hrus kali narik,-2,negatif
Rohmat Gunawan,udah coba pindah ke mybca ternyata sama saja ketika ada masalah sim card di ganti atau ganti hp verifikasi di bca mobile gagal terus di mybca otp gak ke kirim2 padahal pulsa sudah di isi sinyal sudah di gonta ganti ke wifi ke sim sama aja kacau nih aplikasi sampai sekarang komplain di wa tidak memberikan solusi tetep aja sama jawaban nya cek jaringannya cek sinyal nya 🤦,2025,bca,coba pindah mybca sim card ganti ganti handphone verifikasi bca mobile gagal mybca one time password tidak kirim pulsa isi sinyal gonta ganti wifi sim kacau aplikasi komplain wa tidak solusi tetep cek jaring cek sinyal,-1,negatif
Panti Arso,"Setelah di update ko jd di suruh regitrasi ulang ke kantor BCA,maksudnya gmn nih,makin ksni ko makin susah di gunakan",2025,bca,update suruh regitrasi ulang kantor bcamaksudnya gmn nihmakin ksni susah,-1,negatif
Sofa Adawiyah,"haduuuh, udah segala masukin identitas eh pas VC malah ga selesai. ujung ujungnya di suruh ke kantor cabang. kalau kaya gitu ngapain ada apk. aneh. kecewa",2025,bca,haduuh masukin identitas eh cocok voice call tidak selesai ujung ujung suruh kantor cabang kaya gitu aplikasi aneh kecewa,-1,negatif
Gotit Tea,bca K*n**l,2025,bca,bca knl,0,netral
Sapto Suwarno,Bnyak update semakin lemot harus sama2 di perbaiki...,2025,bca,bnyak update lama baik,0,netral
deni wija,Saya daftar mbanking BCA proses video call ya lama banget 🥹🥹,2025,bca,daftar mbanking bca proses video call lama banget,-1,negatif
wildhan firdaus,tolong dong tim IT atau tim software nya benar benar cari orang yang kompeten.. aplikasi sudah di update tapi banyak yang error kita nasabah mau transaksi jadi ga tenang,2025,bca,tolong tim it tim software cari orang kompeten aplikasi update error nasabah transaksi tidak tenang,-1,negatif
abang bontot,"smenjak buka tabungan dari 2014 ,baru kali ini kena potongan 40 ribu,bahkan di mutasi rekening,setelah ditanya,alasannya dana endapan dan dari sistem,hadeh",2025,bca,smenjak buka tabung kena potong ribubahkan mutasi rekeningsetelah ditanyaalasannya dana endap sistemhadeh,0,netral
Ade Anjar,transaksi gagal tidak masuk tapi saldo hilang dan uang gak kembali.. setiap tlp suruh nunggu udah hampir tiga Minggu uang gak kembali gimana ini ko banyak tikus di BCA ... jangan jangan nanti kaya BRI lagi banyak saldo hilang gak jelas,2025,bca,transaksi gagal tidak masuk saldo hilang uang tidak tlp suruh nunggu minggu uang tidak tikus bca kaya bri saldo hilang tidak,-1,negatif
Alfhan Syafriel,akhir akhir ini transaksi scan qris selalu lemot jadi malu sama antrian belakang 😒,2025,bca,transaksi scan qris lama malu antri,-1,negatif
Imron Rosadi,pasangin antena biar bagus sinyal aplikasinya,2025,bca,pasangin antena bagus sinyal aplikasi,1,positif
Vinna Friska,"ga bisa login,nomor rek udah pas+no hp juga udah pulsa juga ada trus saya di arahkan kirim pesan ke 89888 tidak ada terjadi apapun setelah nya, udah coba berkali kali tetap ga ada kek mana solusinya ini?",2025,bca,tidak bisa loginnomor rekening pasno handphone pulsa arah kirim pesan tidak apa coba kali tidak kek solusi,0,netral
Rianpermana Thegoo,susah banget daftar BCA mobile sinyal bagus manteng tapi gagal terus kecewa banget masa harus naik tower pake internet bagus masa pake daftar BCA mobile susah nomer udah terdaftar di BCA tetep gak bisa,2025,bca,susah banget daftar bca mobile sinyal bagus manteng gagal kecewa banget tower pakai internet bagus pakai daftar bca mobile susah nomer daftar bca tetep tidak bisa,-2,negatif
Naresh Cindy,Setelah update kenapa setiap saya kirim / Terima uang selalu kepotong 10rb tapi di mutasi Terima/kirimnya tetap full sesuai yang kita Terima/kirim... SAYA KIRIM KE SESAMA BCA KLO GINI SAYA RUGI DONG,2025,bca,update kirim terima uang potong ribu mutasi terimakirimnya full sesuai terimakirim kirim bca gin rugi,0,netral
Kurniawan Goyali,pemeliharaan terusss....pindah bank aja x ya,2025,bca,pelihara terusspindah bank,0,netral
Asya Nahira,"kak maaf sepertinya untuk saat ini gamau pake BCA mobile dulu, kecewa banget sama sms yg pake pulsa tapi gagal teruss dimana yg lain udah tanpa pulsa ini masi pake pulsa, terus²an gagal juga masalahnya klo pulsa sekali okelah kak 2000, tapi kalo berkali²? mau isi saldo juga jadi ragu, takut kendala di transaksi kayanya selama belum dihapus fitur pake pulsa nya, aku ga pake BCA dulu deh 🙏🏻🙏🏻",2025,bca,maaf gamau pakai bca mobile kecewa banget pesan pakai pulsa gagal teruss mana pulsa mas pakai pulsa terus gagal pulsa oke kali isi saldo ragu takut kendala transaksi kaya hapus fitur pakai pulsa tidak pakai bca,-4,negatif
Hudana,"kapan update lagi dari kemarin saya merah terus gak bisa menggunakannya ,udah di restart udah di hapus dan download lagi tetap merah apakah udah 2 hari ini gangguan",2025,bca,update kemarin merah tidak bisa guna restart hapus download merah ganggu,-1,negatif
Truk 3 We,"ribet, mw registrasi ulang aja muter trs, padahal udh lama jd member",2025,bca,ribet mw registrasi ulang muter lama member,-2,negatif
zuperpay ltd,"jgn dijawab pakai template. saya pengguna lama. akhir akhir ini BCA indikator nya merah trus, susah buat transaksi, jgn bilang pastikan sinyal internet anda blabla, koneksi sya lancar, mau streaming HQ juga lancar tanpa buffer. tolong lah perbaiki kecepatan buat transaksi, mending bank sebelah gak harus nunggu lampu merah perempatan",2025,bca,pakai template guna lama bca indikator merah susah transaksi bilang pasti sinyal internet blabla koneksi sya lancar streaming hq lancar buffer tolong baik cepat transaksi mending bank belah tidak nunggu lampu merah empat,2,positif
Wiwi Wiwi,"uang saya tiba2 hilang 40rb , ga seberapa mungkin tapi itu uang dapet keringat woy !! ga ada keterangan di mutasi apapun !!!",2025,bca,uang hilang ribu tidak uang dapet keringat woy tidak terang mutasi apa,0,netral
fredho pratama,"Update terbaru membuat aplikasi tidak dapat digunakan apabila menyalakan fitur aksesibilitas, akan tetapi ketika fitur sudah dinonaktifkan dan sudah restart hp berkali-kali tetap saja aplikasi BCA Mobile menampilkan pesan harus menonaktifkan fitur aksesibilitas. Sangat mengecewakan sekali. Edit untuk menjawab respon BCA: Padahal sudah tercantum dan secara jelas terdapat pernyataan ""terbaru"" yang mana versi aplikasi sudah yang paling terbaru, tetapi masih DISURUH untuk update. Update apa???",2025,bca,update baru aplikasi tidak nyala fitur aksesibilitas fitur nonaktif restart handphone berkalikali aplikasi bca mobile tampil pesan nonaktif fitur aksesibilitas sangat kecewa edit respon bca cantum nyata baru versi aplikasi baru suruh update update,-1,negatif
Bambang Pujiono,"muncul kode eror di aplikasi : 205-semetara transaksi tidak dapat di proses, silakan ulangi beberapa saat lagi. tolong min udh dari seminggu lalu, udh di update juga aplikasi terbaru di play store juga masih sama, mana mau transaksi lagi..",2025,bca,muncul kode error aplikasi semetara transaksi tidak proses sila ulang tolong minggu update aplikasi baru play store transaksi,-1,negatif
17. Nirmala Wardhany,"indikator sering merah padahal sinyal stabil tidak ada kendala apapun, tapi sering merah",2025,bca,indikator merah sinyal stabil tidak kendala apa merah,0,netral
Andre Bima Aditya,Susah harus video call ini itu ribet banget. tiba tiba apk kluae sendiri tidak jelas,2025,bca,susah video call ribet banget aplikasi kluae tidak,-2,negatif
hiroshi bike,bank besar tapi aplikasinya koplok lemot,2025,bca,bank aplikasi koplok lama,-1,negatif
Fazli Suueb,tolong untuk BCA admin nya di murahin doang naik naik Mulu ini,2025,bca,tolong bca murahin,0,netral
alwi united fans,"lampu sering merah sih padahal sinyal juga full,hp idah dinon aktifkan juga tapi tetap merah mulu heran aplikasi ini",2025,bca,lampu merah sinyal fullhp idah non aktif merah heran aplikasi,0,netral
kuliner ngiler bandung,"parah tidak bisa masuk ,malah pulsa abis",2025,bca,parah tidak bisa masuk pulsa abis,-1,negatif
hengky purnomo,"kenapa setelah di update, malah jadi lemot ya? merah mulu, lama banget ke hijaunya, ampun dah",2025,bca,update lama merah lama banget hijau ampun,-2,negatif
Ikah Ikah,ribet banget ni aplikasi apaan coba perivikasi wajah ajah susah nya minta ampun saya Ampe 1 jam verifikasi wajah gagal terus .,2025,bca,ribet banget aplikasi coba perivikasi wajah ajah susah ampun ampe jam verifikasi wajah gagal,-3,negatif
Nindy Apriani,"bug kode otp,Pindah perangkat baru",2025,bca,bug kode otppindah perangkat,0,netral
zavi sholeh,bca keyboardnya setelah update menjadi delay,2025,bca,bca keyboardnya update delay,-1,negatif
Dapid Grab,eror,2025,bca,error,-1,negatif
Hadi Iswanto,saldo hilang gagal transaksi Qris bca,2025,bca,saldo hilang gagal transaksi qris bca,-1,negatif
Zerxes Oktavian,TOLONG KALAU MAINTENANCE ADAKAN PEMBERITAHUAN!!!,2025,bca,tolong maintenance adakan pemberitahuan,0,netral
lucky iskandar (iskhandaer),buruk,2025,bca,buruk,-1,negatif
Arief Adi,"Saya beli paket data provider XL dengan metode pembayaran Qris. Percobaan pertama status gagal, percobaan kedua status gagal juga. Tapi kenapa saldo saya terpotong senilai 2 paket data tersebut??? Status gagal kok saldo terpotong??? Tolong kembalikan uang saya!",2025,bca,beli paket data provider xl metode bayar qris coba status gagal coba status gagal saldo potong nila paket data status gagal saldo potong tolong kembali uang,-3,negatif
Gerrard Siahaan,"tolong perbaiki ,saya tidak bisa memasuki mobile nya,sedangkan pulsa saya sudah habis banyak,tolong di perhatikan!!!",2025,bca,tolong baik tidak bisa pasuk mobile nyasedangkan pulsa habis banyaktolong perhati,1,positif
APRILIAN Catur Batama,"MAKIN KESINI MAKIN MALING INI BANK, TRANSAKSI QRIS GAGAL, SALDO SERING HILANG DAN TIDAK ADA REFUND DARI PIHAK BCA ATAU KEJELASAN NYA",2025,bca,kesini maling bank transaksi qris gagal saldo hilang tidak refund bca jelas,-1,negatif
Yosua Waruwu,"Gimana Nih Udah sering banget Terjadi Saat saya QRIS,sering gagal Saldo kepotong!",2025,bca,banget qrissering gagal saldo potong,-1,negatif
Alfan Paaww,"pelayanan video call dalam pembukaan rekening sangat lama, tidak ada respon, sudah berkali kali mencoba dan gagal, padahal jaringan bagus menggunakan data seluler tidak menggunakan wifi",2025,bca,layan video call buka rekening sangat lama tidak respon kali coba gagal jaring bagus data seluler tidak wifi,-1,negatif
Reza Aditya,di upgrade malah merah mulu kocak,2025,bca,upgrade merah kocak,0,netral
madi idam,aplikasi jelek sinyal bagus mash ajah g bsa transaksi percuma bikin aplikasi ga guna,2025,bca,aplikasi jelek sinyal bagus mash ajah tidak bsa transaksi aplikasi tidak,0,netral
DityaSA,"perhari ini merah terus sir,susah TF benerin lah nyusahin",2025,bca,hari merah sirsusah transfer benerin nyusahin,0,netral
Bobby Aditya Rachman,"malasah verivikasi, tunggu indikator warna hijau, diulang² sampai habis banyak pulsa, aplikasi noob 👎🏽👎🏽👎🏽",2025,bca,malasah verivikasi tunggu indikator warna hijau ulang habis pulsa aplikasi noob,0,netral
Adi Nugroho,ko makin lama si buat masuk nya habis di update malah lama,2025,bca,lama si masuk habis update lama,-2,negatif
Adam Pujiyanto,"parah bisa bisa nya gangguan lebih dari 5mnt,aplikasi ini banyak yg pake tapi duh makin ribet terus makin sering gangguan jaringan merah terus 😌",2025,bca,parah bisa bisa ganggu mntaplikasi pakai duh ribet ganggu jaring merah,-4,negatif
trie khairul,bca makin kesini makin lemot ya bukan nya makin bagus,2025,bca,bca kesini lama bagus,0,netral
yakuza gaming,masa qris gagal saldo di potong lu mau korupsi ya BST,2025,bca,qris gagal saldo potong korupsi bst,-1,negatif
Rizki Alawi,enek banget gue nunggu ini aplikasi notip merah terus lama banget ke notif hijau,2025,bca,enek banget nunggu aplikasi notip merah lama banget notif hijau,-1,negatif
Dewi Pratiwi,aplikasi kocak selalu gangguan dijam kerja pas orang butuh duit.. maintenance itu malam aktivitas orang jadi nggak terganggu.. sumpah pelayanan sampah ini bca,2025,bca,aplikasi kocak ganggu jam kerja cocok orang butuh uang maintenance malam aktivitas orang tidak ganggu sumpah layan sampah bca,-2,negatif
Jaka Umbara,baingan jelek sekali,2025,bca,baingan jelek,-1,negatif
Nabil Amien,kenapa suka keluar buat verivikasi lagi si,2025,bca,suka verivikasi si,1,positif
Gema Satrio Widodo,lagi bug kah bca gabisa dibuka?,2025,bca,bug kah bca tidak bisa buka,0,netral
Agus Tono,sering gangguang aplikasi apaan nih... sudah di update juga masih sama aja Mbanking terburuk di dunia,2025,bca,gangguang aplikasi update mbanking buruk dunia,-1,negatif
Riko Handiko,"penagihan kartu kredit BCA brutal mengitimidasi ,mengancam ,dengan DC Poto profil orang timur ,sangat payah.kalau ada bintang 1/2 aku kasih bintang setengah ,hati2 dengan modelan bank rampok",2025,bca,tagih kartu kredit bca brutal mengitimidasi ancam dc poto profil orang timur sangat payahkalau bintang kasih bintang hati model bank rampok,0,netral
azka tehnik,sudah ngeri pakai BCA baru kali ini uang masuk bisa hilang. di cek mutasi ga ada,2025,bca,ngeri pakai bca uang masuk bisa hilang cek mutasi tidak,0,netral
Devan Kumar,kadang suka buat naik emosi lampu merah nya mau Sampai 1 harian,2025,bca,kadang suka emosi lampu merah hari,1,positif
Yono Pade,asli sumpah GX jelas bca nunggu lapu garu hijau lah dikit dikit ganguan GX bisa kalo ke mesin ngambil uang saldo kepotong uang nya GX keluar lebih baik menggunakan mandiri ketimbang bca Ribett mengunaya,2025,bca,asli sumpah gx bca nunggu lapu garu hijau dikit dikit ganguan gx bisa mesin ngambil uang saldo potong uang gx mandiri ketimbang bca ribett mengunaya,0,netral
Aca Darsa,"apliksi ini tdk ada notipikasi transaksi sma customernya,,,kya bnk yg lain,,,tlong di perbaiki,,soalnya persan sya kmrin saldo sya ada ps di lhat gda sbagian,,,klo ada notipikasi transaksi kn lbih baik dn mnguntungkan ke 2 blh pihak,,,,",2025,bca,apliksi tidak notipikasi transaksi customernyakya bnk laintlong perbaikisoalnya pers sya kmrin saldo sya ps lhat gda sbagianklo notipikasi transaksi kn lbih dn mnguntungkan blh,0,netral
mioo 2011,baru withdraw dari saldo akun ojol ke rekening BCA. ternyata uangnya belum masuk juga ke rekening BCA. padahal riwayat withdraw sudah berhasil. dan dilihat dari riwayat mutasi. terbaca nominal uangnya. tapi di informasi saldo TIDAK ADA. apa BCA sedang gangguan. kenapa tidak ada pemberitahuan.,2025,bca,withdraw saldo akun ojol rekening bca uang masuk rekening bca riwayat withdraw hasil riwayat mutasi baca nominal uang informasi saldo tidak bca ganggu tidak pemberitahuan,-1,negatif
Utuh Sugih,"aplikasinya sangat parah masa udah hijau cek saldo dan byr qris sending lama banget, asli parah banget ini aplikasi",2025,bca,aplikasi sangat parah hijau cek saldo byr qris sending lama banget asli parah banget aplikasi,-3,negatif
Q _Duys,"dari pagi gak bisa transaksi gak bisa apa² simbolnya warna merah terus, padahal udah versi terbaru",2025,bca,pagi tidak bisa transaksi tidak bisa simbol warna merah versi baru,0,netral
Irfan Miftahurrohman,"setelah update, kalau mau tf nunggu hijaunya lama. harus nunggu sekitar 1 - 2 menit baru hijau",2025,bca,update transfer nunggu hijau lama nunggu menit hijau,-1,negatif
Mudarif Darif,kenapa saya susah banget masuknya belum juga dapet nomor otp,2025,bca,susah banget masuk dapet nomor one time password,-1,negatif
luckyday Luckyday,"pas dikirim masuk, pas di cek saldonya tidak ada",2025,bca,cocok kirim masuk cocok cek saldo tidak,0,netral
Renal Ferdian,kenapa merahhh mulu ini sinyalnya,2025,bca,merahh sinyal,0,netral
Bramantyo handojo,QR kodenya sekarang sangat sangat lemot,2025,bca,qr kode sangat sangat lama,-1,negatif
Ari Irawan,eror mulu,2025,bca,error,-1,negatif
Dendy Damaru,aplikasi gak jelas nge bug terus,2025,bca,aplikasi tidak nge bug,0,netral
wahyu,bca ngaco 2 jam ketahan apk ga bisa di pake transaksi padahal indokator hijau tapi muter² doang kacauu,2025,bca,bca ngaco jam tahan aplikasi tidak bisa pakai transaksi indokator hijau muter kacauu,0,netral
Otong 27,makin kesini malah makin kesana,2025,bca,kesini kesana,0,netral
The Modjoe,aplikasi nya nyusahin orang pulsa banyak terpotong buat install aplikasi di hape yg baru alias pindah data sdh banyak buang waktu dan pulsa tlpon call Centre suruh daftar ulang di ATM.. sdh saya daftar ulang saya coba lagi eh terpotong pulsa saya.. trus suruh daftar ulang lagi.. maksdnya apa ini.. pulsa trus habis.. buat otp... saya kasih minus bintang kalo ada minus,2025,bca,aplikasi nyusahin orang pulsa potong install aplikasi hape alias pindah data buang pulsa tlpon call centre suruh daftar ulang atm daftar ulang coba eh potong pulsa suruh daftar ulang maksdnya pulsa habis one time password kasih minus bintang minus,0,netral
Tomi Hermanto,jelek pelayanannya ! ga bisa kasih solusi login mbanking pas diluar negeri !,2025,bca,jelek layan tidak bisa kasih solusi login mbanking cocok luar negeri,-1,negatif
Shane James,rudet mau login aja susah,2025,bca,rudet login susah,-1,negatif
Rudi Munandar,"login lama, sinyal merah teruss bikin repot aja bukan memudahkan",2025,bca,login lama sinyal merah teruss repot mudah,-1,negatif
Lapak pojok ghavin,login ulang gak bisa2,2025,bca,login ulang tidak bisa,0,netral
Karel Erik,"sering sekali saldo dibawah 1.000 sering hilang apa disedot , padahal sudah ada potongan. GK kita kira App BCA ini ambil keuntungan. saldo dibawah 1.000 rupiah aja sering hilang.",2025,bca,saldo bawah hilang sedot potong tidak aplikasi bca ambil untung saldo bawah rupiah hilang,0,netral
Muh. Lutfi,"gua kira ni aplikasi berguna ga tau nya ternyata malah hilang duit gua...... kalo emang niat bikin tabungan BCA ya balikin duit gua yang ga bersalah..... hilang nya juga 7,3 juta lu kira 7'3 juta seenaknya bilang ikhlasin nyesel gua bikin tabungan di sini bukanya aman malah hilang hhhhhh...............",2025,bca,aplikasi guna tidak hilang uang niat tabung bca balikin uang tidak salah hilang juta juta bilang ikhlasin nyesel tabung buka aman hilang hh,1,positif
Shin Chan,"habis diupdate malah indikator warnanya merah terus ngga berubah hijau, tolong perbaiki",2025,bca,habis diupdate indikator warna merah tidak ubah hijau tolong baik,1,positif
julian wibowo,aplikasi burik. ganti device gagal verifikasi wajah. sudah daftar ulang di ATM. ulang lagi verifikasi wajah lagi dan gagal lagi. benar2 ngerjain orang dan sangat bikin kecewa mau cepat jadi lambat begini,2025,bca,aplikasi burik ganti device gagal verifikasi wajah daftar ulang atm ulang verifikasi wajah gagal ngerjain orang sangat kecewa cepat lambat,-3,negatif
Kedepan Ya,sudah habis pulsa buat aktivasi masih gak bisa buat buka aplikasinya id sudah benar pasword sudah benar masih tidak bisa. suruh tlp pula.. aplikasi Bank tak guna,2025,bca,habis pulsa aktivasi tidak bisa buka aplikasi id pasword tidak bisa suruh tlp aplikasi bank,0,netral
Aco Fals,sangat buruk bca...!!! auto pindah bank yg lebih bagus..!!!,2025,bca,sangat buruk bca auto pindah bank bagus,0,netral
hagni wj,"trf antar bca eror mulu, heran",2025,bca,trf bca error heran,-1,negatif
Renno Enno,setelah di update malahan lempot buka mbengking apa lagi pas mau pake QR loding trus bikin kesel,2025,bca,update lempot buka mbengking cocok pakai qr loding kesel,0,netral
dedy hariyanto,lemotttt,2025,bca,lemott,0,netral
Risma Pitriyanto,aplikasi mental2 mulu,2025,bca,aplikasi mental,0,netral
BANG OCIM chanel,ini gimana sih aplikasi nya.... indikator hijau giliran mau tf malah ke merah kalau udah gak bisa pake aplikasi mending buang aja aplikasi nya,2025,bca,aplikasi indikator hijau gilir transfer merah tidak bisa pakai aplikasi mending buang aplikasi,0,netral
Akhsan Darmawan,sangat membantu aplikasi ini bagus,2025,bca,sangat bantu aplikasi bagus,1,positif
Jons Tjidoelang,"buka rekening disini payah banget video call nya dinyatakan terhubung tapi tidak di angkat, malah suruh denger lagu hallo bca!!! minim karyawan mungkin, sehingga tidak menyambung.",2025,bca,buka rekening payah banget video call nyata hubung tidak angkat suruh denger lagu hallo bca minim karyawan tidak sambung,0,netral
Janwar Andriansyah,"semakin buruk aplikasi nya.. berat , lemot sekali di gunakan bertransaksi. bahkan sekedar cek saldo pun harus tunggu beberapa menit,makin payah aplikasi nya",2025,bca,buruk aplikasi berat lama transaksi dar cek saldo tunggu menitmakin payah aplikasi,-2,negatif
Heri Gunawan,jelek,2025,bca,jelek,-1,negatif
Seputar Olahraga,ganguuuan gabisa cek saldo gabisa apa. biruuu terus SM merah ga ijo ijo,2025,bca,ganguuan tidak bisa cek saldo tidak bisa biruu merah tidak ijo ijo,0,netral
Rika Queen,"AKTIVASI SMS SAMPE 1 JAM SUDAH JELAS PASTI GAGAL. SAMPE 10 KALI. MENDING GRATIS, BAYAR LAGI . SAMPAHH Sekelas BCA",2025,bca,aktivasi pesan jam gagal mending gratis bayar sampahh kelas bca,-1,negatif
Lukman nul hakim Ashadillah,verify otp menggunakan sms menghabiskan pulsa sampai 85 rb anj gua ledakin aja gitu kantor bca nya??? gua udah stok banyak nitroglyserin buat pemerintah nanti tpi ada yg bikin kesel nih kek nya.....,2025,bca,verify one time password pesan habis pulsa ribu anj ledakin gitu kantor bca stok nitroglyserin perintah kesel kek,0,netral
febri Setiawan,"daftar sampai 10x, udah habis pulsa tetep aja gabisa ""coba lagi nanti"" ya gimana, coba terus yg ada habis pulsa doang buat sms",2025,bca,daftar habis pulsa tetep tidak bisa coba coba habis pulsa pesan,0,netral
marioo hanggono,"apk macam apa ini, mau verifikasi wajah gagal teruss, developernya gk mau gerak , makin kesni jdi samph nih APK",2025,bca,aplikasi verifikasi wajah gagal teruss developer tidak gerak kesni samph aplikasi,-1,negatif
Prikson Simarmata,Sekelas BCA mbankingnya bermasalah Mulu. Halo IT nya gak bekerja kah? Stuck di laman saat ini transaksi.....bla..bla ga jelas,2025,bca,kelas bca mbankingnya masalah halo it tidak kah stuck laman transaksiblabla tidak,-1,negatif
devira .l,"Dari bulan kemarin BCA selalu bermasalah ketika akan transaksi. Malu kalo mau transaksi pakai qris di tempat umum. Mau transfer antar rek juga susah. Aplikasi terbaru, kuota ada, tapi mau transaksi susah. Loading terus. Terima kasih sudah feedback ulasan saya. Jaringan di HP saya bagus, kuota banyak. Aplikasi lain berjalan lancar. Aplikasi mbca hanya terkendala ketika akan melakukan transaksi (VA, QRIS dan transfer). Untuk cek mutasi bisa.",2025,bca,kemarin bca masalah transaksi malu transaksi pakai qris transfer rekening susah aplikasi baru kuota transaksi susah loading terima kasih feedback ulas jaring handphone bagus kuota aplikasi jalan lancar aplikasi mobile bca kendala transaksi va qris transfer cek mutasi bisa,-3,negatif
