username,review,rating,tahun,aplikasi,clean_text
Yusuf Hamzah,maintenance ga ngotak 00-05. lah di jam segitu kan emang fungsi m-banking kalo kebutuhan urgent. kita di pedesaan di jam segitu mau keluar kemana..??,1,2025,bca,maintenance tidak ngotak jam segitu fungsi mbanking butuh urgent desa jam segitu mana
Ts In,"setelah update malah jadi parahh parahhh,,lambat sekali ,indikator merah.nya kaga ijo"",,lama"" pindah ATM aja ke sebelah yg lancar""",1,2025,bca,update parahh parahhlambat indikator merah kaga ijolama pindah atm belah lancar
Tri Sahputra,kenapa sekarang jadi lemot amat ya eett deh,1,2025,bca,lama eett
Ardika Febriyanto,"BCA mobile bagus, tapi sayang penawaran asuransi jiwanya maksa costumer untuk buat asuransi jiwa, ditelpon berkali-kali bahkan ganti 2 kali si penelpon, dengan alasan pembaharuan data, dipotong 2 kali dalam sebulan 500rb dan barusan 300rb, ""kalo costumer nggak minta ngapain nawarin maksa pula"", mungkin bilangnya nggak seberapa, tapi bagi saya itu sudah cukup banyak diambil, ""ingat costumer nggak minta ya""",1,2025,bca,bca mobile bagus sayang tawar asuransi jiwa maksa costumer asuransi jiwa telpon berkalikali ganti si telpon alas baharu data potong bulan ribu barusan ribu costumer tidak nawarin maksa bilang tidak ambil costumer tidak
Ahmet Cafer,ngebug melulu untuk yg versi terbaru. sangat mengecewakan....,1,2025,bca,ngebug melulu versi baru sangat kecewa
Jeyna Felix,udah seminggu ini bca buat transaksi tidak bisa muncul warna hijau,1,2025,bca,minggu bca transaksi tidak bisa muncul warna hijau
Jepri Panjaitan,setiap mau login selalu gak bisa koneksi terputus lah apa lah.,1,2025,bca,login tidak bisa koneksi putus
Ves Cool,sulit di menegerti,1,2025,bca,sulit menegerti
Open Fajar,"Saya ada saran. Untuk sistem CARDLESS, Limit TARIK TUNAI harap di upgrade Nominal nya. Minimal 2.500.00 1x Tarik, agar lebih mudah dan tidak lama pd saat di ATM Selain itu udah Mantap sih Kapan update Tarik Tunai CARDLESS ke 2.500.000 Ribet kalo mau narik harus 1.250.000 Ngantri nya lama, nge lama² in org hrus berkali² narik",1,2025,bca,saran sistem cardless limit tarik tunai harap upgrade nominal minimal tarik mudah tidak lama pd atm mantap update tarik tunai cardless ribet narik ngantri lama nge lama in orang hrus kali narik
Rohmat Gunawan,udah coba pindah ke mybca ternyata sama saja ketika ada masalah sim card di ganti atau ganti hp verifikasi di bca mobile gagal terus di mybca otp gak ke kirim2 padahal pulsa sudah di isi sinyal sudah di gonta ganti ke wifi ke sim sama aja kacau nih aplikasi sampai sekarang komplain di wa tidak memberikan solusi tetep aja sama jawaban nya cek jaringannya cek sinyal nya 🤦,1,2025,bca,coba pindah mybca sim card ganti ganti handphone verifikasi bca mobile gagal mybca one time password tidak kirim pulsa isi sinyal gonta ganti wifi sim kacau aplikasi komplain wa tidak solusi tetep cek jaring cek sinyal
Panti Arso,"Setelah di update ko jd di suruh regitrasi ulang ke kantor BCA,maksudnya gmn nih,makin ksni ko makin susah di gunakan",1,2025,bca,update suruh regitrasi ulang kantor bcamaksudnya gmn nihmakin ksni susah
Sofa Adawiyah,"haduuuh, udah segala masukin identitas eh pas VC malah ga selesai. ujung ujungnya di suruh ke kantor cabang. kalau kaya gitu ngapain ada apk. aneh. kecewa",1,2025,bca,haduuh masukin identitas eh cocok voice call tidak selesai ujung ujung suruh kantor cabang kaya gitu aplikasi aneh kecewa
Gotit Tea,bca K*n**l,1,2025,bca,bca knl
Sapto Suwarno,Bnyak update semakin lemot harus sama2 di perbaiki...,1,2025,bca,bnyak update lama baik
deni wija,Saya daftar mbanking BCA proses video call ya lama banget 🥹🥹,1,2025,bca,daftar mbanking bca proses video call lama banget
wildhan firdaus,tolong dong tim IT atau tim software nya benar benar cari orang yang kompeten.. aplikasi sudah di update tapi banyak yang error kita nasabah mau transaksi jadi ga tenang,1,2025,bca,tolong tim it tim software cari orang kompeten aplikasi update error nasabah transaksi tidak tenang
abang bontot,"smenjak buka tabungan dari 2014 ,baru kali ini kena potongan 40 ribu,bahkan di mutasi rekening,setelah ditanya,alasannya dana endapan dan dari sistem,hadeh",1,2025,bca,smenjak buka tabung kena potong ribubahkan mutasi rekeningsetelah ditanyaalasannya dana endap sistemhadeh
Ade Anjar,transaksi gagal tidak masuk tapi saldo hilang dan uang gak kembali.. setiap tlp suruh nunggu udah hampir tiga Minggu uang gak kembali gimana ini ko banyak tikus di BCA ... jangan jangan nanti kaya BRI lagi banyak saldo hilang gak jelas,1,2025,bca,transaksi gagal tidak masuk saldo hilang uang tidak tlp suruh nunggu minggu uang tidak tikus bca kaya bri saldo hilang tidak
Alfhan Syafriel,akhir akhir ini transaksi scan qris selalu lemot jadi malu sama antrian belakang 😒,1,2025,bca,transaksi scan qris lama malu antri
Imron Rosadi,pasangin antena biar bagus sinyal aplikasinya,1,2025,bca,pasangin antena bagus sinyal aplikasi
Vinna Friska,"ga bisa login,nomor rek udah pas+no hp juga udah pulsa juga ada trus saya di arahkan kirim pesan ke 89888 tidak ada terjadi apapun setelah nya, udah coba berkali kali tetap ga ada kek mana solusinya ini?",1,2025,bca,tidak bisa loginnomor rekening pasno handphone pulsa arah kirim pesan tidak apa coba kali tidak kek solusi
Rianpermana Thegoo,susah banget daftar BCA mobile sinyal bagus manteng tapi gagal terus kecewa banget masa harus naik tower pake internet bagus masa pake daftar BCA mobile susah nomer udah terdaftar di BCA tetep gak bisa,1,2025,bca,susah banget daftar bca mobile sinyal bagus manteng gagal kecewa banget tower pakai internet bagus pakai daftar bca mobile susah nomer daftar bca tetep tidak bisa
Naresh Cindy,Setelah update kenapa setiap saya kirim / Terima uang selalu kepotong 10rb tapi di mutasi Terima/kirimnya tetap full sesuai yang kita Terima/kirim... SAYA KIRIM KE SESAMA BCA KLO GINI SAYA RUGI DONG,1,2025,bca,update kirim terima uang potong ribu mutasi terimakirimnya full sesuai terimakirim kirim bca gin rugi
Kurniawan Goyali,pemeliharaan terusss....pindah bank aja x ya,1,2025,bca,pelihara terusspindah bank
Asya Nahira,"kak maaf sepertinya untuk saat ini gamau pake BCA mobile dulu, kecewa banget sama sms yg pake pulsa tapi gagal teruss dimana yg lain udah tanpa pulsa ini masi pake pulsa, terus²an gagal juga masalahnya klo pulsa sekali okelah kak 2000, tapi kalo berkali²? mau isi saldo juga jadi ragu, takut kendala di transaksi kayanya selama belum dihapus fitur pake pulsa nya, aku ga pake BCA dulu deh 🙏🏻🙏🏻",1,2025,bca,maaf gamau pakai bca mobile kecewa banget pesan pakai pulsa gagal teruss mana pulsa mas pakai pulsa terus gagal pulsa oke kali isi saldo ragu takut kendala transaksi kaya hapus fitur pakai pulsa tidak pakai bca
Hudana,"kapan update lagi dari kemarin saya merah terus gak bisa menggunakannya ,udah di restart udah di hapus dan download lagi tetap merah apakah udah 2 hari ini gangguan",1,2025,bca,update kemarin merah tidak bisa guna restart hapus download merah ganggu
Truk 3 We,"ribet, mw registrasi ulang aja muter trs, padahal udh lama jd member",1,2025,bca,ribet mw registrasi ulang muter lama member
zuperpay ltd,"jgn dijawab pakai template. saya pengguna lama. akhir akhir ini BCA indikator nya merah trus, susah buat transaksi, jgn bilang pastikan sinyal internet anda blabla, koneksi sya lancar, mau streaming HQ juga lancar tanpa buffer. tolong lah perbaiki kecepatan buat transaksi, mending bank sebelah gak harus nunggu lampu merah perempatan",1,2025,bca,pakai template guna lama bca indikator merah susah transaksi bilang pasti sinyal internet blabla koneksi sya lancar streaming hq lancar buffer tolong baik cepat transaksi mending bank belah tidak nunggu lampu merah empat
Wiwi Wiwi,"uang saya tiba2 hilang 40rb , ga seberapa mungkin tapi itu uang dapet keringat woy !! ga ada keterangan di mutasi apapun !!!",1,2025,bca,uang hilang ribu tidak uang dapet keringat woy tidak terang mutasi apa
fredho pratama,"Update terbaru membuat aplikasi tidak dapat digunakan apabila menyalakan fitur aksesibilitas, akan tetapi ketika fitur sudah dinonaktifkan dan sudah restart hp berkali-kali tetap saja aplikasi BCA Mobile menampilkan pesan harus menonaktifkan fitur aksesibilitas. Sangat mengecewakan sekali. Edit untuk menjawab respon BCA: Padahal sudah tercantum dan secara jelas terdapat pernyataan ""terbaru"" yang mana versi aplikasi sudah yang paling terbaru, tetapi masih DISURUH untuk update. Update apa???",1,2025,bca,update baru aplikasi tidak nyala fitur aksesibilitas fitur nonaktif restart handphone berkalikali aplikasi bca mobile tampil pesan nonaktif fitur aksesibilitas sangat kecewa edit respon bca cantum nyata baru versi aplikasi baru suruh update update
Bambang Pujiono,"muncul kode eror di aplikasi : 205-semetara transaksi tidak dapat di proses, silakan ulangi beberapa saat lagi. tolong min udh dari seminggu lalu, udh di update juga aplikasi terbaru di play store juga masih sama, mana mau transaksi lagi..",1,2025,bca,muncul kode error aplikasi semetara transaksi tidak proses sila ulang tolong minggu update aplikasi baru play store transaksi
17. Nirmala Wardhany,"indikator sering merah padahal sinyal stabil tidak ada kendala apapun, tapi sering merah",1,2025,bca,indikator merah sinyal stabil tidak kendala apa merah
Andre Bima Aditya,Susah harus video call ini itu ribet banget. tiba tiba apk kluae sendiri tidak jelas,1,2025,bca,susah video call ribet banget aplikasi kluae tidak
hiroshi bike,bank besar tapi aplikasinya koplok lemot,1,2025,bca,bank aplikasi koplok lama
Fazli Suueb,tolong untuk BCA admin nya di murahin doang naik naik Mulu ini,1,2025,bca,tolong bca murahin
alwi united fans,"lampu sering merah sih padahal sinyal juga full,hp idah dinon aktifkan juga tapi tetap merah mulu heran aplikasi ini",1,2025,bca,lampu merah sinyal fullhp idah non aktif merah heran aplikasi
kuliner ngiler bandung,"parah tidak bisa masuk ,malah pulsa abis",1,2025,bca,parah tidak bisa masuk pulsa abis
hengky purnomo,"kenapa setelah di update, malah jadi lemot ya? merah mulu, lama banget ke hijaunya, ampun dah",1,2025,bca,update lama merah lama banget hijau ampun
Ikah Ikah,ribet banget ni aplikasi apaan coba perivikasi wajah ajah susah nya minta ampun saya Ampe 1 jam verifikasi wajah gagal terus .,1,2025,bca,ribet banget aplikasi coba perivikasi wajah ajah susah ampun ampe jam verifikasi wajah gagal
Nindy Apriani,"bug kode otp,Pindah perangkat baru",1,2025,bca,bug kode otppindah perangkat
zavi sholeh,bca keyboardnya setelah update menjadi delay,1,2025,bca,bca keyboardnya update delay
Dapid Grab,eror,1,2025,bca,error
Hadi Iswanto,saldo hilang gagal transaksi Qris bca,1,2025,bca,saldo hilang gagal transaksi qris bca
Zerxes Oktavian,TOLONG KALAU MAINTENANCE ADAKAN PEMBERITAHUAN!!!,1,2025,bca,tolong maintenance adakan pemberitahuan
lucky iskandar (iskhandaer),buruk,1,2025,bca,buruk
Arief Adi,"Saya beli paket data provider XL dengan metode pembayaran Qris. Percobaan pertama status gagal, percobaan kedua status gagal juga. Tapi kenapa saldo saya terpotong senilai 2 paket data tersebut??? Status gagal kok saldo terpotong??? Tolong kembalikan uang saya!",1,2025,bca,beli paket data provider xl metode bayar qris coba status gagal coba status gagal saldo potong nila paket data status gagal saldo potong tolong kembali uang
Gerrard Siahaan,"tolong perbaiki ,saya tidak bisa memasuki mobile nya,sedangkan pulsa saya sudah habis banyak,tolong di perhatikan!!!",1,2025,bca,tolong baik tidak bisa pasuk mobile nyasedangkan pulsa habis banyaktolong perhati
APRILIAN Catur Batama,"MAKIN KESINI MAKIN MALING INI BANK, TRANSAKSI QRIS GAGAL, SALDO SERING HILANG DAN TIDAK ADA REFUND DARI PIHAK BCA ATAU KEJELASAN NYA",1,2025,bca,kesini maling bank transaksi qris gagal saldo hilang tidak refund bca jelas
Yosua Waruwu,"Gimana Nih Udah sering banget Terjadi Saat saya QRIS,sering gagal Saldo kepotong!",1,2025,bca,banget qrissering gagal saldo potong
Alfan Paaww,"pelayanan video call dalam pembukaan rekening sangat lama, tidak ada respon, sudah berkali kali mencoba dan gagal, padahal jaringan bagus menggunakan data seluler tidak menggunakan wifi",1,2025,bca,layan video call buka rekening sangat lama tidak respon kali coba gagal jaring bagus data seluler tidak wifi
Reza Aditya,di upgrade malah merah mulu kocak,1,2025,bca,upgrade merah kocak
madi idam,aplikasi jelek sinyal bagus mash ajah g bsa transaksi percuma bikin aplikasi ga guna,1,2025,bca,aplikasi jelek sinyal bagus mash ajah tidak bsa transaksi aplikasi tidak
DityaSA,"perhari ini merah terus sir,susah TF benerin lah nyusahin",1,2025,bca,hari merah sirsusah transfer benerin nyusahin
Bobby Aditya Rachman,"malasah verivikasi, tunggu indikator warna hijau, diulang² sampai habis banyak pulsa, aplikasi noob 👎🏽👎🏽👎🏽",1,2025,bca,malasah verivikasi tunggu indikator warna hijau ulang habis pulsa aplikasi noob
Adi Nugroho,ko makin lama si buat masuk nya habis di update malah lama,1,2025,bca,lama si masuk habis update lama
Adam Pujiyanto,"parah bisa bisa nya gangguan lebih dari 5mnt,aplikasi ini banyak yg pake tapi duh makin ribet terus makin sering gangguan jaringan merah terus 😌",1,2025,bca,parah bisa bisa ganggu mntaplikasi pakai duh ribet ganggu jaring merah
trie khairul,bca makin kesini makin lemot ya bukan nya makin bagus,1,2025,bca,bca kesini lama bagus
yakuza gaming,masa qris gagal saldo di potong lu mau korupsi ya BST,1,2025,bca,qris gagal saldo potong korupsi bst
Rizki Alawi,enek banget gue nunggu ini aplikasi notip merah terus lama banget ke notif hijau,1,2025,bca,enek banget nunggu aplikasi notip merah lama banget notif hijau
Dewi Pratiwi,aplikasi kocak selalu gangguan dijam kerja pas orang butuh duit.. maintenance itu malam aktivitas orang jadi nggak terganggu.. sumpah pelayanan sampah ini bca,1,2025,bca,aplikasi kocak ganggu jam kerja cocok orang butuh uang maintenance malam aktivitas orang tidak ganggu sumpah layan sampah bca
Jaka Umbara,baingan jelek sekali,1,2025,bca,baingan jelek
Nabil Amien,kenapa suka keluar buat verivikasi lagi si,1,2025,bca,suka verivikasi si
Gema Satrio Widodo,lagi bug kah bca gabisa dibuka?,1,2025,bca,bug kah bca tidak bisa buka
Agus Tono,sering gangguang aplikasi apaan nih... sudah di update juga masih sama aja Mbanking terburuk di dunia,1,2025,bca,gangguang aplikasi update mbanking buruk dunia
Riko Handiko,"penagihan kartu kredit BCA brutal mengitimidasi ,mengancam ,dengan DC Poto profil orang timur ,sangat payah.kalau ada bintang 1/2 aku kasih bintang setengah ,hati2 dengan modelan bank rampok",1,2025,bca,tagih kartu kredit bca brutal mengitimidasi ancam dc poto profil orang timur sangat payahkalau bintang kasih bintang hati model bank rampok
azka tehnik,sudah ngeri pakai BCA baru kali ini uang masuk bisa hilang. di cek mutasi ga ada,1,2025,bca,ngeri pakai bca uang masuk bisa hilang cek mutasi tidak
Devan Kumar,kadang suka buat naik emosi lampu merah nya mau Sampai 1 harian,1,2025,bca,kadang suka emosi lampu merah hari
Yono Pade,asli sumpah GX jelas bca nunggu lapu garu hijau lah dikit dikit ganguan GX bisa kalo ke mesin ngambil uang saldo kepotong uang nya GX keluar lebih baik menggunakan mandiri ketimbang bca Ribett mengunaya,1,2025,bca,asli sumpah gx bca nunggu lapu garu hijau dikit dikit ganguan gx bisa mesin ngambil uang saldo potong uang gx mandiri ketimbang bca ribett mengunaya
Aca Darsa,"apliksi ini tdk ada notipikasi transaksi sma customernya,,,kya bnk yg lain,,,tlong di perbaiki,,soalnya persan sya kmrin saldo sya ada ps di lhat gda sbagian,,,klo ada notipikasi transaksi kn lbih baik dn mnguntungkan ke 2 blh pihak,,,,",1,2025,bca,apliksi tidak notipikasi transaksi customernyakya bnk laintlong perbaikisoalnya pers sya kmrin saldo sya ps lhat gda sbagianklo notipikasi transaksi kn lbih dn mnguntungkan blh
mioo 2011,baru withdraw dari saldo akun ojol ke rekening BCA. ternyata uangnya belum masuk juga ke rekening BCA. padahal riwayat withdraw sudah berhasil. dan dilihat dari riwayat mutasi. terbaca nominal uangnya. tapi di informasi saldo TIDAK ADA. apa BCA sedang gangguan. kenapa tidak ada pemberitahuan.,1,2025,bca,withdraw saldo akun ojol rekening bca uang masuk rekening bca riwayat withdraw hasil riwayat mutasi baca nominal uang informasi saldo tidak bca ganggu tidak pemberitahuan
Utuh Sugih,"aplikasinya sangat parah masa udah hijau cek saldo dan byr qris sending lama banget, asli parah banget ini aplikasi",1,2025,bca,aplikasi sangat parah hijau cek saldo byr qris sending lama banget asli parah banget aplikasi
Q _Duys,"dari pagi gak bisa transaksi gak bisa apa² simbolnya warna merah terus, padahal udah versi terbaru",1,2025,bca,pagi tidak bisa transaksi tidak bisa simbol warna merah versi baru
Irfan Miftahurrohman,"setelah update, kalau mau tf nunggu hijaunya lama. harus nunggu sekitar 1 - 2 menit baru hijau",1,2025,bca,update transfer nunggu hijau lama nunggu menit hijau
Mudarif Darif,kenapa saya susah banget masuknya belum juga dapet nomor otp,1,2025,bca,susah banget masuk dapet nomor one time password
luckyday Luckyday,"pas dikirim masuk, pas di cek saldonya tidak ada",1,2025,bca,cocok kirim masuk cocok cek saldo tidak
Renal Ferdian,kenapa merahhh mulu ini sinyalnya,1,2025,bca,merahh sinyal
Bramantyo handojo,QR kodenya sekarang sangat sangat lemot,1,2025,bca,qr kode sangat sangat lama
Ari Irawan,eror mulu,1,2025,bca,error
Dendy Damaru,aplikasi gak jelas nge bug terus,1,2025,bca,aplikasi tidak nge bug
wahyu,bca ngaco 2 jam ketahan apk ga bisa di pake transaksi padahal indokator hijau tapi muter² doang kacauu,1,2025,bca,bca ngaco jam tahan aplikasi tidak bisa pakai transaksi indokator hijau muter kacauu
Otong 27,makin kesini malah makin kesana,1,2025,bca,kesini kesana
The Modjoe,aplikasi nya nyusahin orang pulsa banyak terpotong buat install aplikasi di hape yg baru alias pindah data sdh banyak buang waktu dan pulsa tlpon call Centre suruh daftar ulang di ATM.. sdh saya daftar ulang saya coba lagi eh terpotong pulsa saya.. trus suruh daftar ulang lagi.. maksdnya apa ini.. pulsa trus habis.. buat otp... saya kasih minus bintang kalo ada minus,1,2025,bca,aplikasi nyusahin orang pulsa potong install aplikasi hape alias pindah data buang pulsa tlpon call centre suruh daftar ulang atm daftar ulang coba eh potong pulsa suruh daftar ulang maksdnya pulsa habis one time password kasih minus bintang minus
Tomi Hermanto,jelek pelayanannya ! ga bisa kasih solusi login mbanking pas diluar negeri !,1,2025,bca,jelek layan tidak bisa kasih solusi login mbanking cocok luar negeri
Shane James,rudet mau login aja susah,1,2025,bca,rudet login susah
Rudi Munandar,"login lama, sinyal merah teruss bikin repot aja bukan memudahkan",1,2025,bca,login lama sinyal merah teruss repot mudah
Lapak pojok ghavin,login ulang gak bisa2,1,2025,bca,login ulang tidak bisa
Karel Erik,"sering sekali saldo dibawah 1.000 sering hilang apa disedot , padahal sudah ada potongan. GK kita kira App BCA ini ambil keuntungan. saldo dibawah 1.000 rupiah aja sering hilang.",1,2025,bca,saldo bawah hilang sedot potong tidak aplikasi bca ambil untung saldo bawah rupiah hilang
Muh. Lutfi,"gua kira ni aplikasi berguna ga tau nya ternyata malah hilang duit gua...... kalo emang niat bikin tabungan BCA ya balikin duit gua yang ga bersalah..... hilang nya juga 7,3 juta lu kira 7'3 juta seenaknya bilang ikhlasin nyesel gua bikin tabungan di sini bukanya aman malah hilang hhhhhh...............",1,2025,bca,aplikasi guna tidak hilang uang niat tabung bca balikin uang tidak salah hilang juta juta bilang ikhlasin nyesel tabung buka aman hilang hh
Shin Chan,"habis diupdate malah indikator warnanya merah terus ngga berubah hijau, tolong perbaiki",1,2025,bca,habis diupdate indikator warna merah tidak ubah hijau tolong baik
julian wibowo,aplikasi burik. ganti device gagal verifikasi wajah. sudah daftar ulang di ATM. ulang lagi verifikasi wajah lagi dan gagal lagi. benar2 ngerjain orang dan sangat bikin kecewa mau cepat jadi lambat begini,1,2025,bca,aplikasi burik ganti device gagal verifikasi wajah daftar ulang atm ulang verifikasi wajah gagal ngerjain orang sangat kecewa cepat lambat
Kedepan Ya,sudah habis pulsa buat aktivasi masih gak bisa buat buka aplikasinya id sudah benar pasword sudah benar masih tidak bisa. suruh tlp pula.. aplikasi Bank tak guna,1,2025,bca,habis pulsa aktivasi tidak bisa buka aplikasi id pasword tidak bisa suruh tlp aplikasi bank
Aco Fals,sangat buruk bca...!!! auto pindah bank yg lebih bagus..!!!,1,2025,bca,sangat buruk bca auto pindah bank bagus
hagni wj,"trf antar bca eror mulu, heran",1,2025,bca,trf bca error heran
Renno Enno,setelah di update malahan lempot buka mbengking apa lagi pas mau pake QR loding trus bikin kesel,1,2025,bca,update lempot buka mbengking cocok pakai qr loding kesel
dedy hariyanto,lemotttt,1,2025,bca,lemott
Risma Pitriyanto,aplikasi mental2 mulu,1,2025,bca,aplikasi mental
BANG OCIM chanel,ini gimana sih aplikasi nya.... indikator hijau giliran mau tf malah ke merah kalau udah gak bisa pake aplikasi mending buang aja aplikasi nya,1,2025,bca,aplikasi indikator hijau gilir transfer merah tidak bisa pakai aplikasi mending buang aplikasi
Akhsan Darmawan,sangat membantu aplikasi ini bagus,1,2025,bca,sangat bantu aplikasi bagus
Jons Tjidoelang,"buka rekening disini payah banget video call nya dinyatakan terhubung tapi tidak di angkat, malah suruh denger lagu hallo bca!!! minim karyawan mungkin, sehingga tidak menyambung.",1,2025,bca,buka rekening payah banget video call nyata hubung tidak angkat suruh denger lagu hallo bca minim karyawan tidak sambung
Janwar Andriansyah,"semakin buruk aplikasi nya.. berat , lemot sekali di gunakan bertransaksi. bahkan sekedar cek saldo pun harus tunggu beberapa menit,makin payah aplikasi nya",1,2025,bca,buruk aplikasi berat lama transaksi dar cek saldo tunggu menitmakin payah aplikasi
Heri Gunawan,jelek,1,2025,bca,jelek
Seputar Olahraga,ganguuuan gabisa cek saldo gabisa apa. biruuu terus SM merah ga ijo ijo,1,2025,bca,ganguuan tidak bisa cek saldo tidak bisa biruu merah tidak ijo ijo
Rika Queen,"AKTIVASI SMS SAMPE 1 JAM SUDAH JELAS PASTI GAGAL. SAMPE 10 KALI. MENDING GRATIS, BAYAR LAGI . SAMPAHH Sekelas BCA",1,2025,bca,aktivasi pesan jam gagal mending gratis bayar sampahh kelas bca
Lukman nul hakim Ashadillah,verify otp menggunakan sms menghabiskan pulsa sampai 85 rb anj gua ledakin aja gitu kantor bca nya??? gua udah stok banyak nitroglyserin buat pemerintah nanti tpi ada yg bikin kesel nih kek nya.....,1,2025,bca,verify one time password pesan habis pulsa ribu anj ledakin gitu kantor bca stok nitroglyserin perintah kesel kek
febri Setiawan,"daftar sampai 10x, udah habis pulsa tetep aja gabisa ""coba lagi nanti"" ya gimana, coba terus yg ada habis pulsa doang buat sms",1,2025,bca,daftar habis pulsa tetep tidak bisa coba coba habis pulsa pesan
marioo hanggono,"apk macam apa ini, mau verifikasi wajah gagal teruss, developernya gk mau gerak , makin kesni jdi samph nih APK",1,2025,bca,aplikasi verifikasi wajah gagal teruss developer tidak gerak kesni samph aplikasi
Prikson Simarmata,Sekelas BCA mbankingnya bermasalah Mulu. Halo IT nya gak bekerja kah? Stuck di laman saat ini transaksi.....bla..bla ga jelas,1,2025,bca,kelas bca mbankingnya masalah halo it tidak kah stuck laman transaksiblabla tidak
devira .l,"Dari bulan kemarin BCA selalu bermasalah ketika akan transaksi. Malu kalo mau transaksi pakai qris di tempat umum. Mau transfer antar rek juga susah. Aplikasi terbaru, kuota ada, tapi mau transaksi susah. Loading terus. Terima kasih sudah feedback ulasan saya. Jaringan di HP saya bagus, kuota banyak. Aplikasi lain berjalan lancar. Aplikasi mbca hanya terkendala ketika akan melakukan transaksi (VA, QRIS dan transfer). Untuk cek mutasi bisa.",1,2025,bca,kemarin bca masalah transaksi malu transaksi pakai qris transfer rekening susah aplikasi baru kuota transaksi susah loading terima kasih feedback ulas jaring handphone bagus kuota aplikasi jalan lancar aplikasi mobile bca kendala transaksi va qris transfer cek mutasi bisa
hanya untuk gabut,"sejak kapan m banking pakek pulsa saya daftar terakhir 2010 tanpa pulsa, wah kok jadi pembodohan public begini ya",1,2025,bca,m banking pakek pulsa daftar pulsa bodoh public
kunadji riyat,kurang praktis.nyuruh instala tapi. gak konek hari hubungi cabang terdekat .maunya tidak pakai,1,2025,bca,kurang praktisnyuruh instala tidak konek hubung cabang dekat mau tidak pakai
RoiLih,"kenapa sy tidak bisa login,dan kode negara Indonesia kenapa tidak ada",1,2025,bca,tidak bisa logindan kode negara indonesia tidak
FENDY 1927,lemot aplikasinya,1,2025,bca,lama aplikasi
karisma hildayati,setelah di perbarui malah makin lemot buka nya ih,1,2025,bca,baru lama buka ih
Edwin Sutandi,mau scan qris lama bangett muterrrrrrrrrrrrr teruss,1,2025,bca,scan qris lama bangett muterr teruss
Sari Wangi,mau bayar qris sering keluar bug..tolong di perbaiki .. kami mohon maaf atas ketidak nyamanan nya ...hahahah sampai kapan.....,1,2025,bca,bayar qris bugtolong baik mohon maaf tidak nyaman hahahah
