Comment;Label
sibuk sepakbola sekolah sma smp uang angka tawur lo gatau nyata lapang apa koci gw aja teman teman gw punya gairah hasrat jadi main bola sma langsung pupus pihak sekolah selalu larang main olahraga sebut jadi laku negatif tawur kurang nya giat;negatif
emg tuchel orng inggris baru tau w;netral
ferry irwandi quot jelas filosofi teory justin quot jelas realitas objektifitas cultur;positif
ikut cara azrul ananda bikin dbl basket awal mula maen kota mulai lgsg tingkat sma utk tarik minat anak2 sd smp utk main basket shg dbl jadi puncak mungkin coba;positif
inti milh latih bedasarkan cv gak hubung sama culture;positif
pk pecat pak et tanggung jawab perlu pecat ganti dg latih baru yg mampu tancap dasar2 spkbola krna yg spkbola indonesia butuh target lolos piala asia piala dunia;negatif
si anjing bilang lawan taipei sama lebanon eksperimen janji sekarang beda asu bilang ga jelas patternya;negatif
janji lawan semua parkir bus alhasil indo liat bagus bgt emg lawan round parkir bus enggak kan kochi sayang uji coba kok parkir bus;positif
lu tau urus sama belanda satu kyk gin aja kolot minta ampun lu urus sama sebongkok belanda;negatif
ferryirwandi lo blg bahkan mimpi aja salah tp lo sendiri yg pernah blg arab lolos notabene arab grup sm indo jatuh malah org baru mau mulai mimpi indo lolos lo sendiri yg langsung patahin;negatif
ayoooooooo coach jadi ketua pssi;positif
liga santri lebih bagus liga kampus indonesia liga santri dulu skrng hilang;negatif
mana latih inggris orang inggris tuchel org inggris gitu;negatif
kan si southgate medioker latih inggris mahh;negatif
muhammadilhamdarmawan484di nyata awal kan ngomong sekarang;netral
koci baik kayak gin kok bilang cuci tangan makan uang pssi jahat banget mulut nuduh orang gak jelas;negatif
orang kalo dah benci emg susah nyadarinnya;negatif
inggris tuchel bukan e jerman;netral
soft bener kalo komen soal latih belanda lu bilang kaya sty lah katrok latih kardus emang ah elah bener2 dah;negatif
ten hag;netral
org asik seru pikir nya sdm indo kolom komen yg tolol idiot gak tau akar masalah soal sepak bola indo tau nya cuma pecat pecat sty lah sampah;negatif
asliii banyak nge highlight statement masalah pecat2an pdhl menit atas bahas daging semuaa;positif
ga alas bung walaupun sty pecat tetap latih baik justru yg janggal sty kembang malah pecat pak haji latih jepang sayang atas pecat sty padahal turut sdh cocok sekali latih timnas indonesia jadi jangan tahan argumentasi yg latih kurang care minim taktik minim strategi masa iya orang ole romeni pasang sbg cadang padahal tanding yg sangat krusial saudi jadi pk anggap tanding uji coba aeeeeh kan;positif
kalo omongin dasar dasar sty bagus tim tahan;positif
justin aja yg ngelatih jangan bayak bacot aja;negatif
saran kalau exoco datang kesini harap buat kan kompetisi upa liga suruh asprov askot askab daerah bentuk liga u u tingkat ssb buat kota kabupaten tingkat akademi bawah naung klub pro contoh akademi arema baya bentuk tim u13 u15 u17 u20 u liga buat per provinsi tingkat ssb anak tk kelas sd tanding vs kelas sd vs kelas sd vs kelas sd vs tingkat buat fun aja kompetisi tetap gk bahas taktik penting fun masuk tingkat smp sma baru vs ajar pasing control visi main kenal taktikal ajar heading bola benar tingkat akademi ambil main kompetisi ssb u18 u23 gabung kampus tiap provinsi misal akademi baya u20 ketemu tim kampus universitas airlangga tanding tiap minggu sekali dr bulan agustus mei buat tim tanding adakan kompetisi dulu kurang baik pelan pelan;positif
akademi bawah naung klub pro isi mayoritas anak sd ikut kompetisi tingkat ssb daerah kota kabupaten cukup turut;positif
latih inggris orang jerman btw t tuchel win with out goal conceded;positif
betul kata ferry beda sama si botak;positif
keras ban koci cepat bubar channel siap2 koci baper resign dr trifelas hahaha;negatif
singkir kloter belanda sty lebih cocok keras pisik kuat belanda letoi;negatif
yg salah parkir bus apa sih smpe kek alergi banget sm tim main kek gitu lu milih main cantik ball posession menang main ga ngebosenin tp cara skor kalah banding defense kalah ball posession kek gitu2 aja menang lu kalah main kek gitu bagus jg gabakal dianggep menang yg menang tetep yg menang cara score bukan stats gaada sejarah tim menang cara stats dpt wildcard poin tambah gara2 main bagus statsnya menang walopun skor kalah sih se gamau cape gw sm apa yg katain cuma bikin geleng2 kepala tp gabisa ngebantah senior;negatif
main tahan parkir bus tinggal nunggu waktu buat bobol satu tanding okelahh kalo misal selamat lama2 bakal tembus bro;positif
tim latih yg lu bangga bangga kan mentang quot holland wkwkwkwkwkwkwk;negatif
coach justin nonton liga satu biar tau kira2 apa yg cocok timnas biar doi tau kok total futball yg bayangin kira2 mungkin hasil brp persen sekarang diaspora yg topang timnas lah kan waktu diaspora habis mungkin presentasi ga banyak;negatif
cocok kanan kiri jadi latih timnas macam betul arab saudi rangking irak rangking fifa trus indonesia orah raga tdk instant;positif
erik tohir banyak janji manis;negatif
baru kali gw liat bang feri naif;negatif
gue sama kochi dasar tahan pk pak erick tetap stay minimal piala asia;positif
salah sendiri mimpi masuk piala dunia gitu kata et;negatif
gw lebih milih latih jerman italy sih udah jamin oke belanda bertahun2 cuma tropi euro doank final wc yg 3x kata prestasi baik latih timnas belanda beda pelatih2 itali jerman;positif
justru coach saran ngasih saran buat ambil latih belanda waktu sty on the track jadi masyarakat jadi berfikiran berpower sampe tiba tiba sty ganti tangkep ingat beberapa waktu lalu pernah bilang soal sty ganti kalau timnas mau lang lebih jauh;positif
and yup sekarang timnas lang lebih jauh sampe bener bener jauh mundur sih nama main aja ga enak lihat;netral
sulit lawan orang penyepong federasi lama duit oke salah bener seponk;negatif
mojokin kociii terusss kan koci nggk dukung pk ferry cuma ngeyel;negatif
emang paling enak cuci tangan gak rasa tanggung jawab atas ganti latih tengah kompetisi enak dulu saran latih belanda sekarang kabur olah olah gak sangkut paut sama diri mu;negatif
siapa mau sepakbola indonesia maju pilih;positif
gass aja lahh bang ferry nggk usah kagok2;positif
kiblat indonesia italy;netral
s;netral
justin henti cuci tangan bilang lo cuma rakyat jelata cuma netizen biasa kayak no you re not coach lo tahu lo bukan netizen biasa lo salah satu pundit paling pengaruh negeri lo punya posisi pengaruh power bentuk bahkan belok arah narasi publik lo bukan netizen biasa kali kali lo claim lo orang didengerin opini lo jadi bahan diskusi nasional lo punya akses lingkar federasi lo sendiri bahkan pernah bilang pak erick sempat diskusi sama lo soal rencana ganti shin tae yong latih asal belanda lo sendiri ngomong salah satu podcast jadi gue tanya rakyat jelata quot netizen biasa quot macam apa minta langsung jabat tinggi federasi sepak bola come on coach atas dengerin lo minimal pertimbangin apa lo ucapin makanya lucu sekarang lo dadak main aman ngaku cuma netizen biasa situasi mulai gak pihak lo argumen lo mulai mentah lapang lo mundur olah lepas tanggung jawab padahal awal lo ikut nyalain sumbu opini publik cara sadar gak sadar lo bantu bentuk persepsi lo tahu efek domino nya jadi jangan pura pura netral sekarang jangan pura pura gak tahu apa apa fakta lo punya andil semua kacau justin;negatif
budaya budaya opo tin tin nama pesepakbola profesional mah siap latih siapa;negatif
obrol baguss tp kasi kociii jadi jubir pssi wkwk;positif
timnas uda beberapa masuk bagai main kelas dunia jd latih latih kelas dunia dong yg trade recordnya bagus kalau perlu pakai jose mourinho jgn lupa sty latih kelas dunia;negatif
suruh diskus tau taktik baik total football sampe kapan lo kasih saran taktik kritik percuma otak udah mentok total football;negatif
latih kasih waktu sedikit latih sty kasih waktu lama aff aja kagak juara latih lokal prestasi kaga kasih sempat gimana indonesia maju;positif
pelaty belanda bsh percaya bodoh kalau sabar sty jangan pecat lawan australia menang garuda tinggal lawan bahrain cina kandang menang lolos;negatif
tahu waktu indonesia lawan curacau yg pimpin kluifert jebol sama indinesia alias tdk menang eeeh malah pk pilih federasi pssi sty pecat sini aja sdh kontoversial ambil latih i yg kurang baik tdk potensial naah sekarang bukti sty latih timnas rangking akhir lk rangking coba naik rangking beraa tingkat hampir tingkat pegang sty sekarang banding pk naik berapa peringkat hasil rangking stagnan makanya ganti pk timnas kalah langsung pulang belanda ga sama sekali etika nya basa basi nya hadap federasi tinggal lihat syarat atur sistim kontrak jangan terlalu banyak bacot pecat pecat pecat lebih baik rugi dikit pelihara orang yg program ga jelas;netral
pantesan futsal oke liga kelas sma smk aja udah hampir tiap kota;netral
diaspora indonesia arti orang yg milik darah indonesia yg sedang lama tinggal kerja sekolah luar indonesia jadi sedang tinggal cukup lama luar negeri diaspora;netral
bukan dikit2 pecat bukti yg pecat sty pssi nitisen banyak yg kaget bahkan nitisen minta sty;positif
nih bukti kalau junjung lu semua si botak bener botak plin plan lahhhhhh sty kan baru kalah dikit itungannya malih lawan china lalu pas lawan arab menang kok lu minta pecat baru satu buaaaaaanyaaaaakkkkk opini plin plan junjung lo gw ga pro sty panggil skrg kondisi beda kalo soal si kupret pecat jelas gw cuman mau kasih bukti si botak plin plan;negatif
erik tohir pnya koneksi yg luar biasa d eropa masa iya sih gak datangin latih kelas dunia yg bnyk prestasi trs brantass mafia yg kubu pssi jg pnting yakin bkn hnya masuk piala dunia tpi bicara d piala dunia;positif
et emang fokus timnas orang jelas bilang quot pssi ngga ngurusin liga fokus timnas quot coach justin emang sama sekak ga ngikutin berita gimana si allah;negatif
pssi minta bocum cari orang ano mal kelas ngolo kante;netral
telat bos kalo bicara buat nyari epa mental udah bentuk standart paling realistis kalo mau nyari bibit dr domestik catat bina sesuai standart yg bener;negatif
semua yg bicara benar biar cuma gak jadi omong kosong lebih baik undang exco podcast biar semua tau respon apa rasa exco open minded hadap saran2 cinta sepakbola tanah air saran bang fery bang arie kochi;positif
wkwkw kochii2;netral
kalcer kalcer koci asa sastra;netral
benar filosofi yg cocok indonesia counter attack sejarah bangsa pernah jajah juang merdeka bawah mau mau dna tahan serang jajah kemudian laku serang sempat serang balik anak diaspora tinggal belanda nenek moyang jajah dnanya sama dna juang wkkww;positif
mungkin banyak lupa kalau real madrid barcelona milik jasa selamat spanyol pas masa krisis hutang eropa jadi kalau enggak klub mungkin tumbuh ekonomi spanyol masa jeblok masuk jurang mungkin pikir bentuk multi sport clubs rm fcb alih alih cuma fokus satu olahraga klub bukan cuma urus olahraga gera ekonomi budaya;positif
kalo patrick kluivert out tuju tpi kalo erik tohir out jgn dulu siapa yg gantiin erik tohir gak yg punya link alam internasional yg jadi mahnet pemain2 diaspora top gabung timnas yg kaya gak cari duit pssi negara tetangga aja iri erik tohir jadi tum pssi lepas salah nya;positif
g tuju sm kochi gak going anywhere;netral
simple mind set baik liga tanggung jawab federasi its dosnt that easy lihat liga jepang berapa tahun butuh ubah klo mau cepat cari investor arab tanam modal kek liga arab liga inggris btw mau banyak liga tarkam kira2 bakal efek besar gak sih ato beri efek riak doank masalah sepak bola pssi is under mafia and they mindset is making money;positif
gua suka banget acara rupa salah satu podcast bola gua tonton kali kali;negatif
bung ferry habis si to well;negatif
inti inti si botak lu belanda lu gw bela lu korea lu gak gw bela;negatif
cari latih yg tau bola asia minimal lawan tuju piala dunia negara asia kalau lolos piala dunia berapa kali baru pakai latih yg punya alam dunia;positif
omongin sistem fondasi turut gw tu bina masa kecil penting tuh makan krn bentuk fisik n otak jadi lebi cerdas dlu bina;positif
kochi realis vs ferry idealis;netral
lebih diskusi rangka buat video cari solusi buat maju sepakbola indonesia;positif
nara sumber jgn rokok;positif
total football gak pernah juara piala dunia yg juara piala dunia catenacio tango jogo bonito grendel;negatif
timnas u main senior sekarang;netral
coach justin supporter indo kalah dikit pecat kalah dikit pecat lah sty kalah dr china minta pecat;negatif
gak kochi minta sty pecat cek video2;negatif
sirubentlebih minta ganti sih video;negatif
bang feri hantam tompel sih koci aja gabisa lawan si tompel;negatif
kalah g pecat latih menang aja lu dorong buat pecat kok 2x kalah kemaren bukan dikit kalah besar menir mencla mencle pinter ngeles lu menir;negatif
liga sma lpi;netral
jangan lupa justin botak salah jadi buzzer et pk giring opini tuju gagal timnas;negatif
video kali bagus banget;positif
patrict out pssi hilang uang bayar kompensasi patrict stay pssi hilang animo supporter mana tiket tanding jual merchandise timnas animo tonton tv nasional hak siar sponsor nilai jual timnas turun silah hitung pssi segala risiko;positif
sistem bina backgroundnya didik bro nah didik aja ampun tetangga nih anak cowok hobi banget main bola ikut ssb you know what kakak smp ancam ga naik kelas adik kelas sd prestasi sekolah ampun so;positif
filosofi gotong royong;netral
hitungin koci jawab quot betul quot;netral
gak usah malu2 clbk aja dah;netral
benar petinggi pssi benar mau jadi sepakbola bagai alat naik elektabilitas terlalu jadi masalah catat benar benar putus bijak program pssi bagus orientasi hasil gak masalah goalnya jauh depan sabar mau kek kapan program penting sepakbola indonesia hasil mau nyalon jadi presiden presiden rakyat milih kok minta percayalahhh;positif
yg tanggung jawab bisik et exco et yg sbg ambil putus kena pk nda perlu evaluasi tp pangsung pecat gitu kok repot;negatif
makan jangan lupa cuci tangan;negatif
ferry mah gak ngerti bola ngertinya politik doang;negatif
inggris kan tuchel;netral
jujur aku kurang yakin latih belanda susah megang ruang ganti arne slot koeman terlalu main zona nyaman enak sendiri milih line up tahu apa taktik total football biar konsep main ngawur saran latih jerman italia spanyol perancis tahu budaya asia mungkin jepang;positif
filosofi dr bottom up kkn;netral
lifuma ga coach;netral
h;netral
total football mulu nih botak liat kualitas main jg dunk anjing cape bgt sama aki2;positif
ooh nyata salah satu orang yg stuju sty pecat;negatif
thanks buat trifellas engga ngebahas drama konflik2 doang ngasih insight yg fokus sma ide gagas sepak bola indonesia depan;positif
si gendut aneh bahas mending koci sama ferry;negatif
pk kalo bukan orang belanda udah maki sama pak tua bahkan bain bukti bilang ga lolos piala dunia bukan buah gagal lah tuju ganti latih kan biar jalan buat lolos makin mudah;negatif
orang yg minta sty pecat gua minta latih belanda2 quot brarti lu yg minta sty ganti jangan cuci tangan lah;negatif
si botak cuci tangan;negatif
tiru konsep dbl aja bang lomba basket tingkat sma se indonesia hampiir semua provinsi udah;positif
uzbek u23 mainin khusanov kok bilang gak serius kocak si botak;negatif
kok sih orang keras kepala bnget sama belanda wong belanda aja sampe detik gk prestasi;negatif
bukti kluivert orang belanda meching gak main belanda sibotak analisis dungu;negatif
lu korea lu cari salah lu belanda lu aman laku sampe sekarang;negatif
ferry yg jadi ketua pssi exco kalau semua jalan yakin tahun saing top asia naturalisasi;positif
lha jawab jujur coach justin lama arti jujur ikut main stream fix;netral
latih timnas unik negara asia lawa mayoritas asia ngerti kultur asia satu latih ga setir integritas tinggi m otoriter sekali gapapa soal federasi suka aneh aneh kompetisi kasih ijin buat podcast butuh pelqtih beranintegas federasi;positif
undang ratu tisha;netral
sty tanam filosofi timnas potong generasi build satu generasi baru langkah awal yg laku krna projek jangka panjang sty sering sesuai strategi main kapasitas main kuat lawan ang thats happened walaupun bbrp kali blunder but thats the process;positif
justin bacod;netral
mantap liga mahasiswa jadi second cange ssb banyak main orng yg benar bakat yg punya duit akhir singkir jadi liga mahasiswa utk beri peluang tinggal kuliah;positif
kluivert muhasabah diri;positif
woi sty nge la tih minus butuh waktu lama sampe akhir sty muncul afc tp pecat begoo begooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo;negatif
track record jeblok kok pilih alhasil ea zonk yg sblmnya udah tanam filosofi yg pas mlh ganti sama aja bunuh diri;positif
inggris sekarang latih tuchel brazil latih ancelotti latih latih negara nya sama bukan arti bikin padu;positif
nih botak ga sih dengerin orang ngomong sampe selesai dulu potong mulu;negatif
salah erik tohir sll pengaruh kata kata manis justin toel arya jadi resiko erik mundur bangkit pssi;positif
awal udah ragu pk tp tetep aja yg bela;netral
inggris bukan latih sama thomas tuchel tuchel inggris;netral
pikir si justin turut gua udah sesat netizen bener kalo lu belanda lu aman justin aja rekomendasi latih borneo yg orang belanda padahal aja gatau siapa karna belanda disaranin justin ganti sty terus bilang kalo budaya netizen indo pecat latih kalo kalah hapus padahal kemarin memang netizen mana yg minta sty out gaada malah kaget tiba tiba sty pecat;positif
dengernya emosi tp ttp gw habisin;positif
cerdas bg fery hahaha;positif
judi jadiin latih ditawarin uang arab apa gg giur;netral
liga sd bang perlu perhati banget;positif
jaman aku liga sma nama lpi liga ajar indonesia entah skrg;netral
gagal timnas lolos pildun nya erik tohir sengaja pecat sty ganti orang yng doyan judi padahal rekam jejak nya buruk kk arena fatrik orng nya nurut tida sty mau sogok;negatif
si koci badung banget kasih tau ferry wwkwkwkw;negatif
pusing gua dengerin muter2;negatif
si gendut ganggu aja;negatif
pantesnys bakul jamu;negatif
debat terus adu bacot temu dong sepakat da solusi sepakbola negara;negatif
coba ajak jeje bahas alanisa tanding;netral
gua neng banget imbang gin ga meiuiu si justin menang argument;negatif
ahli yapping;negatif
si feri selalu pansos dimn mn omong gk mutu cengengesan gk sopan mgrokok rambut awut2an gk pants pk jas;negatif
kadang aneh nih si botak timnas lawan argentina brasil spanyol perancis total football emang nya timnas berapa kali juara dunia botak;negatif
yg aq tk suka lihat muka nya coach nya org nya terlalu nafsu mecat sty sama toel marhali;negatif
gue tuju undang siapa exco pssi bahas biar lebih buka masyarakat dengar;positif
hey botak arab yg semua backgroundnya semua arab naturalisasi irak siapa latih justin sok belanda kamu kalah anak buah sty yg gaya keasiaan lucu kamu kadang quot;negatif
diam dengar inti;netral
kalau memang mau naikin hype bantu eksisting trenggalek soccer league scale up;positif
hahaha koco;negatif
gw heran mesti paksa total football jajah belanda mayoritas turun belanda coba liat apa inggris maen kick amp rush sekarang big no sekarang sepak bola modern total football is old fashion bro suka ga suka terima fakta ny kembang sepak bola modern pep sebut tik taka sekarang tik taka jg ud banyak yg counter turut gw u ga suka penting level international skala timnas result sekarang coba ga u bilang southgate timnas inggris gagal wc semifinal wc quaterfinal runner up uero loh apa main southgate bagus f cking no southgate maen boring football but he has result apa regragui bawa morocco semifinal wc2022 maen bagus maen counter menang nya bono luar biasa dah lah turut gw akhir tanam filosofi ga efek timnas timnas ngumpul ny aja jarang tiap main klub pny filosofi masing2 bina tetap jalan konsep aja sama;positif
turut sya sty gak bakal latih indonesia mas harga diri sty et sbg tum pssi mungkin sty mau latih indonesia lebih baik alex pastoor yg lanjut jadi latih kepala rakyat masalah kalau nnti yg starting line upnya diaspora semua jga wni punya darah indonesia putra bangsa;positif
jose maurinho jawab;netral
makan noh total football;negatif
seru sini si koci pesimistic lihat;netral
makan tu sepak bola serang tolol belanda aja kaga dapet apa apa ampas aneh nya bilang bukan sp sp kan jelas punya member ikut y jelas pengaruh lah aneh emng aki aki;negatif
dear coach justin stop cuci tangan atas nama rakyat jelata quot rakyat jelata quot macem apa punya previlege diskusi ketua federasi no you are not rakyat jelata biasa lu influencer lu punya power meng influence massa stop cuci tangan;positif
pikir bang ari keren bgt;positif
sibotak kan awal yg paling vokal minta ganti sty latih belanda pas udah ga lolos aja cuci tangan tua alam mu jadi omong kosong skrg timoti lu tin;negatif
sakalian erick tohir jg pecat;negatif
like;positif
orang kya bunglon klo bunglon ubah warns klo botak ubah omong ga jls;negatif
arab saudi latih gak bhsa arab lolos;negatif
mon maap koch sama mas ferry latih timnas inggris sekarang bukan gerbang selatan udah latih tuchel orang jerman;positif
kalau sesuai kultur budaya sepakbola cocok indonesia sini kultur pencak dor jadi waktu main bola dominan bukan sepakbola pencakdor;positif
buat kalo kompetisi antar smp arti buat saing antar kabupaten terus provinsi wakil tiap provinsi lgsg berangkat tempat tuju dah mantep bang;positif
uda gk usah bahas2 evaluasi semua klo yg kurang baik d ganti aja choac jastis kan kritis bgt ni jago jga taktik argumen coba jdi latih timnas aja biar tau hasil nnti kya gmn;negatif
udah gak usah salahin siapa2 emang indo gak harap udah mending nonton liga inggris mending nonton ufc lebih seru maennya orang indo suka antem kan sepakbola soal pake otak bro jadi susah ufc pake otak cuman maennya pake otot;positif
main bola profesional cepet adaptasi kerja sama orang bagai negara;positif
bandingin ko sama negara negara eropa wkwkwk wajar lah latih asal negara sendiri federasi nya paham culture sepakbola eropa coba pelat asal asia bebas mau asia barat asia timur suruh latih tim eropa timnas eropa apa klop cara culture ingat kalian hadap musuh kalian raih menang koci koci;positif
saran aja kalo udah bikin buat ad art jangan disusupin orang politik rusak liga lama orang orang;positif
mulut besar;negatif
justin dh males nntn klo orang;negatif
kalau mau exco ngerti tetek bengek timnas gw saranin our manager pak sumardji;positif
ahhaha koci sini lunak ahahahahah;negatif
latih wajib tau sepakbola asia bukan budaya kultural bulshit persib bukan latih sunda latih tahu sepakbola asia tenggara luis milla full main liga lokal perform kalau ngomongin konsep lanjut aja filanesia ambil luis milla selesai udah masalah;positif
gw senang ide brilinat lebih investasi akar rumput tanya gw apa fungsi asproov asprov cuma nyalurkan wasit ijin tanding aja bullshit soal dana aju sponsor minimal kompetisi jenjang antar umur mau beban club saling support bullshit club pssi punya tanggung jawab beda club butuh hidup semua tau club indonesia jauh kata industri pssi punya tanggung jawab maju sepakbola akar rumput federasi dulu sekarang kek b n g s t semua lebih pikir penting pribadi penting timnas suara vote kongres negosiasi jual semua mantan tum cuma suka bola bukan expert bindangnya kalau sepakbola indonesia mau maju pssi rubah sistem diri sendiri statuta bikin tak sentuh emis dana hibah tai;positif
hallo netizen cinta sepak bola indonesia tanah air indonesia jangan sekali kali dengar percaya dunia sepak bola indonesia coach justin pandai blak2kan bukan sifat dukung sepenuh contoh c justin bicara mutu lat teamnas garuda mana tiap kali komentar selalu pakai cara pro amp kontra adu domba alias adu mulut coach pssi netizen pensuport teamnas garuda dunia sepak bola indonedia dimabuk2kin analis mampu coach main baik ayo satu suara segera panggil coach sty latih teamnas garuda cabang perinhkat umur baik team pria team putri alias garuda pertiwi coach sty uba maju dunia sepak bola indonesia bukti dunia sepak bola indonesia c sty tangan teamnas garuda indonesia justru jujur aku apa coach sty bukti indonesia redaksi angin syurga suara prantau ajak kalian sama2 tuju panggil coach sty melati teamnas garuda indonesia tuju silah;negatif
sma liga mahasiswa gairah apa kalau nyontoh jepang;positif
bert van marwijk coach ngeliat belanda pegang sampe final world cup;netral
adu argumen elegan kritis objektif penting yg podcast;positif
rekrut pk nyata timbang siapa yg bakal tumbal bila lolos wc2026;positif
kalau soal budaya budaya tu main rap rap bola blh lewat orang jangan;positif
justin the best la bukan tolo lho;negatif
timnas belanda lo bahas nonton males;negatif
bahas akhir vid tarik bgt dah sumpah;negatif
keren nih podcast;positif
yg cuci tangan nih;negatif
bikin adem aja lur ga usah emosi dukung aja timnas;positif
kolom komentar ga yg dukung om om si paling belanda kasi moga moga besok ga baper tau ga mau muncul channel;negatif
masalah sepakbola indonesia dulu sama aja sektor yg bobrok makanya ga maju2 urus emang ga profesional lebih utama sepakbola bagai lahan hasil uang kendara politiik lu mau sepakbola indonesia maju kayak negara sepakbolanya yg bagus mungkin mungkin hasil gw bilang karna keybord angka jadi satu lu rombak semua urus mindsetnya kochi udah bilang i know how they play bina jenjang kayak negara jadi topik bahas realisasi karna mental urus bentur masalah ekonomi klub bentur operasional tonton bentur beli tiket banyak masalah yg sepakbola mafia moga ide bang ferry bikin liga sendiri jalan baik sukses sedikit curhat dulu waktu gw jadi mahasiswa ikut seleksi kampus aja ga lolos karna latih udah punya main sendiri yg ikut seleksi tp karna pemain2 sebut kenal sama latih hehehe main gocak gocek kayak messi ronaldinho padahal gw posisi cb wkwkwkwk;positif
percuma lama balik federasi belakang org2 belakang perintah skarang klo niat nya jelek ga bakal maju2 negara;positif
botak loe banyak ngeles nya makan tu total foot ball kalau loe gagal buat apa total foot ball jaman sekarang banyak ubah total football gak sekarang bro lie pake total football indonesia kagak cocok botak;negatif
main asia bukan belanda justin guoblokkkkkk;negatif
pinter ngomong otk kosong;negatif
orang tua emang yg ngimbangin debat ferry do it very well;negatif
winratenya bang ferry emang gokil sih sayang noda karna tim onodera winratenya jadi;netral
ayoo jalanka kk ferry pelosok banyak anak anak saing fasilitas bagus cuman bina tindak lanjut kalau focus bola apa g dpat jadi yah focus instan jadi tani jadi tukang bangun;netral
possession football bukan total football woiiiii;netral
coach justin arti udah tahu pernah masuk piala dunia dong coach podcast haye way krn pilih nya jd milyarder masuk piala dunia arti duga pihak pihak pilih jadi miliarder;netral
udah bener nya tahun lakuin bina sejak dini masa lu pasrah gitu coach kayak seakan2 gada solusi urus tahun tahun gin gin aja ayo coach jangan kayak jebak pikir sendiri jangan sungkan kalo memang erick tohir jalan bina liga benar jangan dekat relasi lo jadi liat dungu coach;positif
sekarang yg penting dulu;positif
sty temu filosofi main dgn timnas malah hancurin;netral
moga bos bos usaha lirik buat satu lini bisnis ssb ikut mereka2;positif
iklan mulu nih yt;netral
gw sih latih ikut nya klo gk korea selatan jepang;positif
korut;netral
yg tgh mirip abang gan ytber mlysia;netral
ange postecoglu bagus tu betul nganggur udah bukti prestasi nya brisbane roar timnas australi tottenham hotspurs;negatif
mimpi salahhhhhhh;negatif
gw nangkep sih maksud ferry baik dimatengin liga sma smk musim jalan tiap tahun pilih kasih quot privelege quot masuk ptn lewat jalur prestasi;positif
luis milla;netral
ingat sty mampu totalfootball serang liat aja piala asia senior u23;positif
justin sgt ahli silat lidah padahal aktor bobrok timnas;negatif
solusi minta pssi media masyarakat projeknya apa apa benar mau;positif
gas liga mahasiswa;positif
narasi bahaya belandasentris tanya balik bukti latih inggris bukan orang inggris tuchel latih brazil bukan orang brazil ancelotti latih portugal bukan orang portugal roberto martinez;positif
nyata kemaren total football gagal napa mesti maksain total football si;positif
koci gelagap kena statement2 logis bang ari bang fery maksain total football banget kocikocak banget dah;positif
isi daging semua keren semua tiga;positif
klo proyek jangka panjang ampe dulu sty pecat klo target cuman pildun oke pecat la kata proyek jangka panjang ampe kok yg pecat sty mana ngangsur kompensasi;positif
daging;positif
si paling belanda nyata cocotnya zonk;negatif
